RESTAURANT,ADDRESS,CATEGORY,RATING,RESTAURANT IMAGE,LINK,ITEM,ITEM IMGAGE,PRICE
Cháo Sườn Cô Giang - Khánh Hội,"65 Khánh Hội, P. 3, Quận 4, TP. HCM",Ăn vặt/vỉa hè,1.8,https://images.foody.vn/res/g103/1021889/prof/s640x400/foody-upload-api-foody-mobile-foody-mobile-img_846-200506103057.jpg,https://www.foody.vn/ho-chi-minh/chao-suon-co-giang-khanh-hoi,Cháo trứng gà đánh,https://images.foody.vn/res/g26/255841/s120x120/3a959093-3efa-431d-9e24-66ebc606-ce066b60-210718225810.jpeg,"19,000đ"
Cháo Sườn Cô Giang - Khánh Hội,"65 Khánh Hội, P. 3, Quận 4, TP. HCM",Ăn vặt/vỉa hè,1.8,https://images.foody.vn/res/g103/1021889/prof/s640x400/foody-upload-api-foody-mobile-foody-mobile-img_846-200506103057.jpg,https://www.foody.vn/ho-chi-minh/chao-suon-co-giang-khanh-hoi,Cháo Thịt Bằm nhỏ + Trứng Gà,https://images.foody.vn/res/g26/255841/s120x120/5bc3d3eb-0a9a-49a9-a449-c05b2a1a-47091a65-210718225710.jpeg,"23,750đ"
Cháo Sườn Cô Giang - Khánh Hội,"65 Khánh Hội, P. 3, Quận 4, TP. HCM",Ăn vặt/vỉa hè,1.8,https://images.foody.vn/res/g103/1021889/prof/s640x400/foody-upload-api-foody-mobile-foody-mobile-img_846-200506103057.jpg,https://www.foody.vn/ho-chi-minh/chao-suon-co-giang-khanh-hoi,COMBO 2 CHÁO SƯỜN ,https://images.foody.vn/res/g26/255841/s120x120/afdec76e-4ddb-4208-8391-e8c60f71-cc8359a8-211011113834.jpeg,"47,500đ"
Cháo Sườn Cô Giang - Khánh Hội,"65 Khánh Hội, P. 3, Quận 4, TP. HCM",Ăn vặt/vỉa hè,1.8,https://images.foody.vn/res/g103/1021889/prof/s640x400/foody-upload-api-foody-mobile-foody-mobile-img_846-200506103057.jpg,https://www.foody.vn/ho-chi-minh/chao-suon-co-giang-khanh-hoi,Cháo sườn,https://images.foody.vn/res/g26/255841/s120x120/e820b1b6-f3b2-40c6-b03f-bb491acd-3576e2a7-210718225848.jpeg,"20,900đ"
Cháo Sườn Cô Giang - Khánh Hội,"65 Khánh Hội, P. 3, Quận 4, TP. HCM",Ăn vặt/vỉa hè,1.8,https://images.foody.vn/res/g103/1021889/prof/s640x400/foody-upload-api-foody-mobile-foody-mobile-img_846-200506103057.jpg,https://www.foody.vn/ho-chi-minh/chao-suon-co-giang-khanh-hoi,Cháo Thịt Bằm Lớn,https://images.foody.vn/res/g103/1021889/s120x120/abf74407-8593-4192-813a-75d36e43-e55c68c0-201003085044.jpeg,"27,550đ"
Cháo Sườn Cô Giang - Khánh Hội,"65 Khánh Hội, P. 3, Quận 4, TP. HCM",Ăn vặt/vỉa hè,1.8,https://images.foody.vn/res/g103/1021889/prof/s640x400/foody-upload-api-foody-mobile-foody-mobile-img_846-200506103057.jpg,https://www.foody.vn/ho-chi-minh/chao-suon-co-giang-khanh-hoi,Cháo Sườn Lớn Bách Thảo,https://images.foody.vn/res/g103/1021889/s120x120/7489eb4b-0180-4329-9327-dcad044f-578898aa-201003084857.jpeg,"36,100đ"
Cháo Sườn Cô Giang - Khánh Hội,"65 Khánh Hội, P. 3, Quận 4, TP. HCM",Ăn vặt/vỉa hè,1.8,https://images.foody.vn/res/g103/1021889/prof/s640x400/foody-upload-api-foody-mobile-foody-mobile-img_846-200506103057.jpg,https://www.foody.vn/ho-chi-minh/chao-suon-co-giang-khanh-hoi,Cháo Sườn Thập Cẩm,https://images.foody.vn/res/g103/1021889/s120x120/3627efcc-8900-49fb-a987-9a0f1c8d-b0264639-201201214458.jpeg,"52,250đ"
Cháo Sườn Cô Giang - Khánh Hội,"65 Khánh Hội, P. 3, Quận 4, TP. HCM",Ăn vặt/vỉa hè,1.8,https://images.foody.vn/res/g103/1021889/prof/s640x400/foody-upload-api-foody-mobile-foody-mobile-img_846-200506103057.jpg,https://www.foody.vn/ho-chi-minh/chao-suon-co-giang-khanh-hoi,Cháo Sườn Bò Viên,https://images.foody.vn/res/g103/1021889/s120x120/2ae233de-f3e9-413f-ae34-dcb5fea7-b258c132-201003084952.jpeg,"34,200đ"
Cháo Sườn Cô Giang - Khánh Hội,"65 Khánh Hội, P. 3, Quận 4, TP. HCM",Ăn vặt/vỉa hè,1.8,https://images.foody.vn/res/g103/1021889/prof/s640x400/foody-upload-api-foody-mobile-foody-mobile-img_846-200506103057.jpg,https://www.foody.vn/ho-chi-minh/chao-suon-co-giang-khanh-hoi,Cháo Sườn thịt bằm lớn,https://images.foody.vn/res/g26/255841/s120x120/12496701-cd4b-4f38-9eef-904e7dcf-ef468186-210718225756.jpeg,"28,500đ"
Mì Thơm - Noodle Bar,"462 Lê Văn Lương, P. Tân Phong, Quận 7, TP. HCM",Quán ăn,7.3,https://images.foody.vn/res/g64/631808/prof/s640x400/foody-upload-api-foody-mobile-2-200116110302.jpg,https://www.foody.vn/ho-chi-minh/thom-noodle-bar,Mì Thơm trứng lòng đào,https://images.foody.vn/res/g64/631808/s120x120/5732e189-8b65-41ad-9d66-23a423909ad1.jpg,"83,000đ"
Mì Thơm - Noodle Bar,"462 Lê Văn Lương, P. Tân Phong, Quận 7, TP. HCM",Quán ăn,7.3,https://images.foody.vn/res/g64/631808/prof/s640x400/foody-upload-api-foody-mobile-2-200116110302.jpg,https://www.foody.vn/ho-chi-minh/thom-noodle-bar,Mì Thịt Heo Nướng Mật Ong,https://images.foody.vn/res/g64/631808/s120x120/73f723ec-1ede-4040-92a0-6118094fff59.jpg,"64,000đ"
Mì Thơm - Noodle Bar,"462 Lê Văn Lương, P. Tân Phong, Quận 7, TP. HCM",Quán ăn,7.3,https://images.foody.vn/res/g64/631808/prof/s640x400/foody-upload-api-foody-mobile-2-200116110302.jpg,https://www.foody.vn/ho-chi-minh/thom-noodle-bar,Mì Hoành Thánh Xá Xíu,https://images.foody.vn/res/g64/631808/s120x120/1ad43939-f422-490e-af46-47a4c92673de.jpg,"73,000đ"
Mì Thơm - Noodle Bar,"462 Lê Văn Lương, P. Tân Phong, Quận 7, TP. HCM",Quán ăn,7.3,https://images.foody.vn/res/g64/631808/prof/s640x400/foody-upload-api-foody-mobile-2-200116110302.jpg,https://www.foody.vn/ho-chi-minh/thom-noodle-bar,Mì Bò Sa Tế,https://images.foody.vn/res/g64/631808/s120x120/0eed8f50-4955-4152-8d74-cd15a673641e.jpg,"73,000đ"
Mì Thơm - Noodle Bar,"462 Lê Văn Lương, P. Tân Phong, Quận 7, TP. HCM",Quán ăn,7.3,https://images.foody.vn/res/g64/631808/prof/s640x400/foody-upload-api-foody-mobile-2-200116110302.jpg,https://www.foody.vn/ho-chi-minh/thom-noodle-bar,Mì Gà Lắc Phô Mai Cay,https://images.foody.vn/res/g64/631808/s120x120/bfdb2f04-c324-4448-a353-3cb99f9b7b01.jpg,"73,000đ"
Mì Thơm - Noodle Bar,"462 Lê Văn Lương, P. Tân Phong, Quận 7, TP. HCM",Quán ăn,7.3,https://images.foody.vn/res/g64/631808/prof/s640x400/foody-upload-api-foody-mobile-2-200116110302.jpg,https://www.foody.vn/ho-chi-minh/thom-noodle-bar,Mì Chảo Xèo Bò Sốt Phô Mai,https://images.foody.vn/res/g64/631808/s120x120/414c00e9-9d40-4931-9422-edc798bff17f.jpg,"93,000đ"
Mì Thơm - Noodle Bar,"462 Lê Văn Lương, P. Tân Phong, Quận 7, TP. HCM",Quán ăn,7.3,https://images.foody.vn/res/g64/631808/prof/s640x400/foody-upload-api-foody-mobile-2-200116110302.jpg,https://www.foody.vn/ho-chi-minh/thom-noodle-bar,Mì Khô Hoành Thánh Trứng Lòng Đào,https://images.foody.vn/res/g64/631808/s120x120/9dcfb009-0bf9-4364-9a05-ae236a2f78ba.jpg,"69,000đ"
Mì Thơm - Noodle Bar,"462 Lê Văn Lương, P. Tân Phong, Quận 7, TP. HCM",Quán ăn,7.3,https://images.foody.vn/res/g64/631808/prof/s640x400/foody-upload-api-foody-mobile-2-200116110302.jpg,https://www.foody.vn/ho-chi-minh/thom-noodle-bar,Mì Bánh Xếp,https://images.foody.vn/res/g64/631808/s120x120/962240b7-afba-442d-9fe8-c46663960028.jpg,"59,000đ"
Mì Thơm - Noodle Bar,"462 Lê Văn Lương, P. Tân Phong, Quận 7, TP. HCM",Quán ăn,7.3,https://images.foody.vn/res/g64/631808/prof/s640x400/foody-upload-api-foody-mobile-2-200116110302.jpg,https://www.foody.vn/ho-chi-minh/thom-noodle-bar,Combo Mì Thơm + Trà Trái Cây Đặc Biệt,https://images.foody.vn/res/g64/631808/s120x120/76ac2856-65d3-4b34-8e21-8ec3ab5918f9.jpg,"119,000đ"
Mì Thơm - Noodle Bar,"462 Lê Văn Lương, P. Tân Phong, Quận 7, TP. HCM",Quán ăn,7.3,https://images.foody.vn/res/g64/631808/prof/s640x400/foody-upload-api-foody-mobile-2-200116110302.jpg,https://www.foody.vn/ho-chi-minh/thom-noodle-bar,Combo Mì Thơm + Trà Chanh Cam Vàng,https://images.foody.vn/res/g64/631808/s120x120/8523719b-52ed-400f-8659-d7f7d2e5bc38.jpg,"116,000đ"
Cơm Niêu Ý Việt,"E8 Phú Thuận, KDC Nam Long, P. Phú Thuận, Quận 7, TP. HCM",Quán ăn,8.5,https://images.foody.vn/res/g104/1032791/prof/s640x400/file_restaurant_photo_knx8_16114-2a89005e-210124200551.jpg,https://www.foody.vn/ho-chi-minh/com-nieu-y-viet,Cơm trắng,https://images.foody.vn/res/g104/1032791/s120x120/88008dab-4162-4b81-838f-c6c63e3c-82cb2f1b-200829204354.jpeg,"11,000đ"
Cơm Niêu Ý Việt,"E8 Phú Thuận, KDC Nam Long, P. Phú Thuận, Quận 7, TP. HCM",Quán ăn,8.5,https://images.foody.vn/res/g104/1032791/prof/s640x400/file_restaurant_photo_knx8_16114-2a89005e-210124200551.jpg,https://www.foody.vn/ho-chi-minh/com-nieu-y-viet,Cơm niêu Ý Việt,https://images.foody.vn/res/g104/1032791/s120x120/adaf38b0-4157-49f0-b7e5-c1496348caac.jpeg,"13,000đ"
Cơm Niêu Ý Việt,"E8 Phú Thuận, KDC Nam Long, P. Phú Thuận, Quận 7, TP. HCM",Quán ăn,8.5,https://images.foody.vn/res/g104/1032791/prof/s640x400/file_restaurant_photo_knx8_16114-2a89005e-210124200551.jpg,https://www.foody.vn/ho-chi-minh/com-nieu-y-viet,Cơm cháy 2 mặt ý việt,https://images.foody.vn/res/g104/1032791/s120x120/036e9ad9-6823-41a7-b4d8-dd136f611f6a.jpeg,"16,000đ"
Cơm Niêu Ý Việt,"E8 Phú Thuận, KDC Nam Long, P. Phú Thuận, Quận 7, TP. HCM",Quán ăn,8.5,https://images.foody.vn/res/g104/1032791/prof/s640x400/file_restaurant_photo_knx8_16114-2a89005e-210124200551.jpg,https://www.foody.vn/ho-chi-minh/com-nieu-y-viet,Cơm cháy 2 mặt sốt mỡ hành,https://images.foody.vn/res/g104/1032791/s120x120/7d2f1779-b2da-4c06-a59e-2611fa9bf2f6.jpeg,"18,000đ"
Cơm Niêu Ý Việt,"E8 Phú Thuận, KDC Nam Long, P. Phú Thuận, Quận 7, TP. HCM",Quán ăn,8.5,https://images.foody.vn/res/g104/1032791/prof/s640x400/file_restaurant_photo_knx8_16114-2a89005e-210124200551.jpg,https://www.foody.vn/ho-chi-minh/com-nieu-y-viet,Cơm thố gà bơ sả,https://images.foody.vn/res/g104/1032791/s120x120/8bef4f25-96d7-4636-95c0-5154cf75-d4bccf15-200923131534.jpeg,"46,000đ"
Cơm Niêu Ý Việt,"E8 Phú Thuận, KDC Nam Long, P. Phú Thuận, Quận 7, TP. HCM",Quán ăn,8.5,https://images.foody.vn/res/g104/1032791/prof/s640x400/file_restaurant_photo_knx8_16114-2a89005e-210124200551.jpg,https://www.foody.vn/ho-chi-minh/com-nieu-y-viet,Cơm chiên tỏi trứng,https://images.foody.vn/res/g104/1032791/s120x120/dbd4c1e1-4362-4fd1-963c-060dfc78-9cb6118d-200923131450.jpeg,"36,000đ"
Cơm Niêu Ý Việt,"E8 Phú Thuận, KDC Nam Long, P. Phú Thuận, Quận 7, TP. HCM",Quán ăn,8.5,https://images.foody.vn/res/g104/1032791/prof/s640x400/file_restaurant_photo_knx8_16114-2a89005e-210124200551.jpg,https://www.foody.vn/ho-chi-minh/com-nieu-y-viet,Cơm chiên hải sản,https://images.foody.vn/res/g104/1032791/s120x120/1bd13402-d283-45d7-bec0-d441a127-3bc1cba4-200923131323.jpeg,"56,000đ"
Cơm Niêu Ý Việt,"E8 Phú Thuận, KDC Nam Long, P. Phú Thuận, Quận 7, TP. HCM",Quán ăn,8.5,https://images.foody.vn/res/g104/1032791/prof/s640x400/file_restaurant_photo_knx8_16114-2a89005e-210124200551.jpg,https://www.foody.vn/ho-chi-minh/com-nieu-y-viet,Cơm cháy 2 mặt sốt thịt bằm chua ngọt,https://images.foody.vn/res/g104/1032791/s120x120/6e7a5761-4f8a-4044-918f-d28497e3-43c37196-200923130142.jpeg,"23,000đ"
Cơm Niêu Ý Việt,"E8 Phú Thuận, KDC Nam Long, P. Phú Thuận, Quận 7, TP. HCM",Quán ăn,8.5,https://images.foody.vn/res/g104/1032791/prof/s640x400/file_restaurant_photo_knx8_16114-2a89005e-210124200551.jpg,https://www.foody.vn/ho-chi-minh/com-nieu-y-viet,Cơm rang hải sản ngọc bích,https://images.foody.vn/res/g104/1032791/s120x120/31ab074b-729a-4227-ba18-a9fcaedf-0033f778-211103181737.jpeg,"60,000đ"
Cơm Niêu Ý Việt,"E8 Phú Thuận, KDC Nam Long, P. Phú Thuận, Quận 7, TP. HCM",Quán ăn,8.5,https://images.foody.vn/res/g104/1032791/prof/s640x400/file_restaurant_photo_knx8_16114-2a89005e-210124200551.jpg,https://www.foody.vn/ho-chi-minh/com-nieu-y-viet,Cơm cháy 2 mặt sốt tôm hoàng kim,https://images.foody.vn/res/g104/1032791/s120x120/a2507bf6-2ef2-4a7a-bb69-fffd8c71-9c6b5725-200923130258.jpeg,"26,000đ"
Làm Tí - Food & Beer,"436 Trường Sa, P. 2, Quận Phú Nhuận, TP. HCM",Quán ăn,7.6,https://images.foody.vn/res/g70/699742/prof/s640x400/foody-upload-api-foody-mobile-foody-upload-api-foo-201210163327.jpg,https://www.foody.vn/ho-chi-minh/lam-ti-food-beer,Gỏi bò nướng,https://images.foody.vn/res/g106/1058374/s120x120/5c30f414-ef3a-4fe7-9b9e-782faa7f-1ed577be-211106173119.jpeg,"164,160đ"
Làm Tí - Food & Beer,"436 Trường Sa, P. 2, Quận Phú Nhuận, TP. HCM",Quán ăn,7.6,https://images.foody.vn/res/g70/699742/prof/s640x400/foody-upload-api-foody-mobile-foody-upload-api-foo-201210163327.jpg,https://www.foody.vn/ho-chi-minh/lam-ti-food-beer,Gà góc tư xông khói mía,https://images.foody.vn/res/g106/1058374/s120x120/ae2f22a7-393d-4cdf-b85a-5f8a3192-dc05b65b-211106172337.jpeg,"164,160đ"
Làm Tí - Food & Beer,"436 Trường Sa, P. 2, Quận Phú Nhuận, TP. HCM",Quán ăn,7.6,https://images.foody.vn/res/g70/699742/prof/s640x400/foody-upload-api-foody-mobile-foody-upload-api-foo-201210163327.jpg,https://www.foody.vn/ho-chi-minh/lam-ti-food-beer,Đậu hũ trứng bắc thảo chà bông,https://images.foody.vn/res/g106/1058374/s120x120/933984aa-bb5b-42c4-86b6-d42463a8-76b905b6-211106174734.jpeg,"120,960đ"
Làm Tí - Food & Beer,"436 Trường Sa, P. 2, Quận Phú Nhuận, TP. HCM",Quán ăn,7.6,https://images.foody.vn/res/g70/699742/prof/s640x400/foody-upload-api-foody-mobile-foody-upload-api-foo-201210163327.jpg,https://www.foody.vn/ho-chi-minh/lam-ti-food-beer,Da gà chiên giòn,https://images.foody.vn/res/g106/1058374/s120x120/8aa3eb7a-a929-4b26-9a63-97d89e0d-28904159-211106173717.jpeg,"66,960đ"
Làm Tí - Food & Beer,"436 Trường Sa, P. 2, Quận Phú Nhuận, TP. HCM",Quán ăn,7.6,https://images.foody.vn/res/g70/699742/prof/s640x400/foody-upload-api-foody-mobile-foody-upload-api-foo-201210163327.jpg,https://www.foody.vn/ho-chi-minh/lam-ti-food-beer,Khoai tây chiên tẩm vị,https://images.foody.vn/res/g106/1058374/s120x120/2d76e99b-969b-40f4-831a-89a93136-b907a7e0-211106174250.jpeg,"77,760đ"
Làm Tí - Food & Beer,"436 Trường Sa, P. 2, Quận Phú Nhuận, TP. HCM",Quán ăn,7.6,https://images.foody.vn/res/g70/699742/prof/s640x400/foody-upload-api-foody-mobile-foody-upload-api-foo-201210163327.jpg,https://www.foody.vn/ho-chi-minh/lam-ti-food-beer,Tai heo muối tắc cay,https://images.foody.vn/res/g106/1058374/s120x120/ced6afe4-12f0-4f54-85ad-80bf2565-0a59b9df-211106173553.jpeg,"88,560đ"
Làm Tí - Food & Beer,"436 Trường Sa, P. 2, Quận Phú Nhuận, TP. HCM",Quán ăn,7.6,https://images.foody.vn/res/g70/699742/prof/s640x400/foody-upload-api-foody-mobile-foody-upload-api-foo-201210163327.jpg,https://www.foody.vn/ho-chi-minh/lam-ti-food-beer,Chân gà rút xương muối sốt cay,https://images.foody.vn/res/g106/1058374/s120x120/ced6afe4-12f0-4f54-85ad-80bf2565-0a59b9df-211106173553.jpeg,"99,360đ"
Làm Tí - Food & Beer,"436 Trường Sa, P. 2, Quận Phú Nhuận, TP. HCM",Quán ăn,7.6,https://images.foody.vn/res/g70/699742/prof/s640x400/foody-upload-api-foody-mobile-foody-upload-api-foo-201210163327.jpg,https://www.foody.vn/ho-chi-minh/lam-ti-food-beer,Nấm kim châm rang muối,https://images.foody.vn/res/g106/1058374/s120x120/aa876635-42f9-4c5f-9490-09d9a0ba-3c403822-211106174451.jpeg,"88,560đ"
Làm Tí - Food & Beer,"436 Trường Sa, P. 2, Quận Phú Nhuận, TP. HCM",Quán ăn,7.6,https://images.foody.vn/res/g70/699742/prof/s640x400/foody-upload-api-foody-mobile-foody-upload-api-foo-201210163327.jpg,https://www.foody.vn/ho-chi-minh/lam-ti-food-beer,Khô mực chiên mắm,https://images.foody.vn/res/g106/1058374/s120x120/7707eef1-8950-47de-b052-9fdf04fe-6b2a32bc-211106174351.jpeg,"120,960đ"
Làm Tí - Food & Beer,"436 Trường Sa, P. 2, Quận Phú Nhuận, TP. HCM",Quán ăn,7.6,https://images.foody.vn/res/g70/699742/prof/s640x400/foody-upload-api-foody-mobile-foody-upload-api-foo-201210163327.jpg,https://www.foody.vn/ho-chi-minh/lam-ti-food-beer,Chả giò Làm Tí,https://images.foody.vn/res/g106/1058374/s120x120/d54b6d8b-2a8c-460f-8367-eca8225b-8b150354-211106173435.jpeg,"110,160đ"
Phúc Long Trường Chinh,"493A Trường Chinh, Quận Tân Bình, TP. HCM",Café/Dessert,6.0,https://images.foody.vn/res/g72/713976/prof/s640x400/foody-upload-api-foody-mobile-tra-dao-phuc-long-190620144843.jpg,https://www.foody.vn/ho-chi-minh/phuc-long-truong-chinh,Combo Mua 2 Tặng 1,https://images.foody.vn/res/g5/48683/s120x120/a7cc33db-b0f3-49e6-9791-270426e7-f6e4ed2d-220418083130.jpeg,"98,181đ"
